route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"96",11367_13,11367_17604,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17605,"TEOFILÓW ROJNA",,1,96   /08,2418297,0,0
"96",11367_13,11367_17606,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17607,"TEOFILÓW ROJNA",,1,96   /08,2418297,0,0
"96",11367_13,11367_17608,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17609,"TEOFILÓW ROJNA",,1,96   /08,2418297,0,0
"96",11367_13,11367_17610,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17611,"TEOFILÓW ROJNA",,1,96   /08,2418297,0,0
"96",11367_13,11367_17612,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17613,"TEOFILÓW ROJNA",,1,96   /08,2418297,0,0
"96",11367_13,11367_17614,"JANÓW",,0,96   /08,2418296,0,0
"96",11367_13,11367_17616,"96 ZJAZD DO LIMANOWSKIEGO",,1,96   /08,2418299,0,0
"96",11367_13,11367_17617,"TEOFILÓW ROJNA",,0,96   /09,2418295,0,0
"96",11367_13,11367_17619,"JANÓW",,0,96   /09,2418296,0,0
"2",11367_11,11367_1762,"KOCHANÓWKA",,0,2    /02,2418000,0,0
"96",11367_13,11367_17620,"TEOFILÓW ROJNA",,1,96   /09,2418297,0,0
"96",11367_13,11367_17621,"JANÓW",,0,96   /09,2418296,0,0
"96",11367_13,11367_17622,"TEOFILÓW ROJNA",,1,96   /09,2418297,0,0
"96",11367_13,11367_17623,"JANÓW",,0,96   /09,2418296,0,0
"96",11367_13,11367_17624,"TEOFILÓW ROJNA",,1,96   /09,2418297,0,0
"96",11367_13,11367_17625,"JANÓW",,0,96   /09,2418296,0,0
"96",11367_13,11367_17626,"TEOFILÓW ROJNA",,1,96   /09,2418297,0,0
"96",11367_13,11367_17627,"JANÓW",,0,96   /09,2418296,0,0
"96",11367_13,11367_17628,"TEOFILÓW ROJNA",,1,96   /09,2418297,0,0
